,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
39,Arkansas,7.6%,6.9%,6.4%,7.0%,6.5%,6.7%,7.1%,9.8%,10.7%,11.0%,9.2%,4.8%,6.8%,10.0%,8.7%,9.2%,9.5%,8.3%,8.9%,7.9%,8.0%,8.8%,6.8%,8.1%,7.2%,9.1%
40,S Car State,7.6%,7.8%,6.8%,4.7%,5.1%,5.0%,3.7%,4.1%,4.7%,4.7%,6.5%,5.2%,4.5%,6.3%,6.9%,6.8%,5.6%,5.7%,5.0%,3.6%,3.8%,3.0%,3.4%,4.9%,6.1%,5.4%
41,Bradley,7.6%,7.8%,5.6%,6.8%,6.4%,3.0%,3.6%,8.5%,8.2%,4.3%,4.4%,6.2%,4.9%,4.7%,5.5%,4.5%,5.2%,5.9%,5.0%,6.3%,7.4%,6.9%,7.0%,5.8%,8.0%,7.2%
42,Florida,7.5%,6.5%,6.6%,6.4%,7.9%,7.1%,5.5%,8.4%,9.1%,8.4%,5.4%,4.8%,4.8%,6.3%,6.0%,6.3%,6.0%,7.2%,7.2%,8.1%,8.4%,6.8%,7.1%,9.0%,9.1%,8.5%
43,Oklahoma,7.4%,7.2%,5.0%,5.4%,6.8%,6.8%,10.0%,7.7%,6.8%,8.4%,7.0%,7.2%,4.6%,5.3%,5.5%,4.9%,5.5%,8.5%,8.1%,7.9%,6.9%,4.9%,6.9%,6.0%,3.4%,5.3%
44,Jackson St,7.4%,7.0%,8.7%,3.9%,4.7%,4.4%,7.2%,8.2%,7.4%,5.4%,5.5%,4.9%,6.8%,6.3%,6.0%,3.9%,6.4%,5.3%,6.6%,5.1%,5.4%,7.4%,6.8%,6.0%,7.2%,4.4%
45,Villanova,7.4%,7.6%,7.9%,7.0%,6.7%,5.9%,7.3%,10.5%,9.0%,6.3%,5.4%,6.0%,7.2%,6.9%,5.4%,6.4%,7.5%,7.4%,6.1%,5.4%,6.7%,5.3%,4.4%,3.4%,3.9%,3.1%
46,Mississippi,7.4%,7.2%,6.7%,6.1%,3.7%,4.0%,4.4%,4.3%,5.3%,6.1%,5.6%,5.3%,8.8%,9.5%,9.2%,8.7%,9.6%,6.8%,5.5%,6.8%,6.8%,6.3%,5.2%,7.4%,5.0%,6.6%
47,Minnesota,7.4%,10.2%,8.7%,6.4%,8.8%,10.1%,8.4%,8.5%,6.5%,8.8%,8.0%,11.6%,10.2%,9.5%,9.1%,10.3%,7.7%,6.2%,6.3%,10.6%,8.2%,6.6%,7.8%,7.8%,4.8%,6.7%
48,W Kentucky,7.4%,2.7%,7.0%,9.0%,5.8%,6.4%,3.9%,7.0%,6.5%,5.0%,7.1%,5.9%,5.3%,6.5%,7.5%,5.8%,4.4%,5.6%,6.0%,5.6%,6.2%,8.5%,6.1%,7.8%,9.0%,8.3%
49,Mt St Marys,7.3%,6.7%,5.0%,7.1%,3.5%,5.9%,3.6%,2.4%,5.1%,5.2%,6.4%,7.1%,8.2%,6.4%,6.4%,4.0%,5.1%,7.1%,6.7%,7.0%,6.8%,5.7%,5.8%,7.5%,7.3%,4.2%
50,Col Charlestn,7.3%,11.6%,10.4%,8.6%,8.2%,7.3%,7.5%,5.7%,4.3%,6.4%,6.3%,6.7%,7.7%,6.8%,6.1%,7.4%,7.9%,5.8%,4.7%,5.9%,6.3%,4.1%,4.5%,5.4%,4.7%,5.3%
51,Citadel,7.3%,5.0%,4.9%,6.1%,5.3%,6.1%,5.8%,6.6%,5.9%,1.6%,2.1%,3.0%,2.9%,2.8%,2.8%,3.4%,4.9%,3.7%,4.8%,3.6%,4.4%,4.9%,4.1%,6.6%,5.4%,4.6%
52,TX-San Ant,7.2%,7.1%,6.6%,4.3%,4.8%,4.0%,4.6%,6.8%,6.4%,5.6%,2.7%,3.5%,2.8%,3.9%,5.3%,2.5%,3.2%,4.3%,4.3%,3.5%,3.9%,4.1%,3.6%,5.1%,3.8%,3.5%
53,Michigan St,7.2%,5.3%,5.1%,7.4%,5.0%,6.8%,3.5%,5.0%,5.2%,9.3%,7.7%,5.2%,6.0%,9.3%,7.9%,7.3%,8.5%,8.4%,8.7%,8.0%,11.9%,8.7%,8.3%,8.1%,8.5%,5.1%
54,Marquette,7.1%,6.4%,2.8%,4.1%,6.4%,6.0%,4.4%,5.2%,5.2%,6.4%,7.0%,5.0%,3.9%,6.3%,5.9%,6.4%,5.6%,6.2%,6.6%,6.1%,6.4%,7.2%,6.9%,6.2%,8.3%,5.2%
