Team,GP,PTS,PPG,AST,TO,AST/TO,APG,Bench,Bench_PPG,BLKS,BKPG,EFF_FG_PCT,FB pts,FB_PPG,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,Fouls,PFPG,DQ,FT,FTA,FTAvgAtt,FT%,REB,RPG,OPP REB,OPP RPG,REB MAR,DRebs,DRPG,OReb,ORPG,OPP PTS,OPP PPG,SCR MAR,ST,STPG,3FG,3FGA,3FG%,Opp 3FGA,Opp 3FG,OPP_3FG%,3PG,TO_RATIO,OPP TO,AVG_FCD_TO,TO,TOPG,W,L,Pct
Wagner,28,1766,63.1,339,335,1.01,12.1,523,18.68,49,1.8,0.458,259,9.25,655,1627,40.26,568,1324,42.9,540,19.3,10,275,403,14.4,68.24,1005,35.9,865,30.9,5,645,23.04,360,12.86,1727,61.7,1,189,6.8,181,583,31.05,479,151,31.5,6.5,1.5,377,13.46,335,12.0,15,13,53.6
Minnesota,31,1949,62.9,454,401,1.13,14.6,485,15.65,124,4.0,0.49,125,4.03,720,1664,43.27,834,1856,44.935,482,15.5,8,317,512,16.5,61.91,1017,32.8,1122,36.2,-3,755,24.35,262,8.45,2202,71.0,-8,143,4.6,192,591,32.49,580,208,35.9,6.2,-3.2,302,9.74,401,12.9,9,22,29.0
Hartford,28,1757,62.8,364,403,0.9,13.0,397,14.18,105,3.8,0.494,123,4.39,659,1543,42.71,734,1596,45.99,395,14.1,6,233,362,12.9,64.36,886,31.6,972,34.7,-3,631,22.54,255,9.11,1991,71.1,-8,179,6.4,206,620,33.23,609,229,37.6,7.4,-2.2,341,12.18,403,14.4,5,23,17.9
Evansville,32,1997,62.4,328,392,0.84,10.2,541,16.91,62,1.9,0.451,337,10.53,729,1839,39.64,867,1809,47.927,520,16.2,10,340,540,16.9,62.96,1004,31.4,1222,38.2,-6,752,23.5,252,7.88,2432,76.0,-13,224,7.0,199,618,32.2,745,283,38.0,6.2,0.9,421,13.16,392,12.2,5,27,15.6
Lafayette,34,2120,62.4,528,396,1.33,15.5,497,14.62,101,3.0,0.487,169,4.97,767,1881,40.78,800,1826,43.812,523,15.4,3,288,460,13.5,62.61,1106,32.5,1194,35.1,-2,822,24.18,284,8.35,2232,65.6,-3,196,5.8,298,911,32.71,753,257,34.1,8.8,0.2,403,11.85,396,11.6,11,23,32.4
Saint Peter's,32,1986,62.1,336,393,0.85,10.5,792,24.75,102,3.2,0.443,256,8.0,716,1830,39.13,664,1551,42.811,681,21.3,14,364,528,16.5,68.94,1119,35.0,1037,32.4,2,686,21.44,433,13.53,2083,65.1,-3,200,6.2,190,648,29.32,557,189,33.9,5.9,0.3,402,12.56,393,12.3,14,18,43.8
Monmouth,33,2036,61.7,395,476,0.83,12.0,545,16.52,83,2.5,0.438,353,10.7,746,1856,40.19,828,1804,45.898,635,19.2,12,410,615,18.6,66.67,1088,33.0,1196,36.2,-3,723,21.91,365,11.06,2466,74.7,-13,278,8.4,134,466,28.76,829,307,37.0,4.1,-0.1,474,14.36,476,14.4,7,26,21.2
Oregon St.,32,1959,61.2,326,429,0.76,10.2,642,20.06,98,3.1,0.469,265,8.28,676,1647,41.04,745,1743,42.742,570,17.8,8,415,551,17.2,75.32,996,31.1,1075,33.6,-2,742,23.19,254,7.94,2144,67.0,-5,172,5.4,192,605,31.74,665,225,33.8,6.0,-1.6,377,11.78,429,13.4,11,21,34.4
Mississippi Val.,32,1953,61.0,321,518,0.62,10.0,520,16.25,65,2.0,0.454,299,9.34,683,1681,40.63,826,1788,46.197,573,17.9,12,425,639,20.0,66.51,1027,32.1,1129,35.3,-3,711,22.22,316,9.88,2392,74.8,-13,243,7.6,162,464,34.91,706,253,35.8,5.1,-2.8,430,13.44,518,16.2,5,27,15.6
Cal Poly,33,2006,60.8,341,457,0.75,10.3,627,19.0,82,2.5,0.465,260,7.88,715,1733,41.26,732,1689,43.339,653,19.8,20,395,531,16.1,74.39,1080,32.7,1069,32.4,0,799,24.21,281,8.52,2174,65.9,-5,181,5.5,181,615,29.43,610,208,34.1,5.5,-1.5,408,12.36,457,13.8,8,25,24.2
