,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
340,CS Bakersfld,,,,,,,,,,,4.8%,6.4%,6.2%,4.5%,4.8%,6.2%,6.7%,7.5%,6.0%,6.2%,5.3%,4.9%,5.1%,5.2%,4.2%,4.7%
341,Fla Gulf Cst,,,,,,,,,,,5.5%,5.3%,5.7%,5.8%,6.0%,5.5%,4.6%,4.5%,5.7%,5.3%,4.8%,5.9%,5.6%,6.2%,3.8%,5.2%
342,Presbyterian,,,,,,,,,,,7.0%,5.9%,7.7%,6.2%,5.7%,6.2%,5.7%,6.2%,7.8%,7.2%,5.5%,4.6%,6.5%,6.7%,6.0%,7.7%
343,NC Central,,,,,,,,,,,8.3%,5.3%,7.4%,6.2%,5.6%,7.3%,8.1%,6.2%,7.1%,4.5%,5.4%,6.8%,5.6%,6.3%,8.1%,7.8%
344,Bryant,,,,,,,,,,,,4.9%,7.2%,5.7%,4.4%,7.1%,8.1%,6.6%,6.3%,6.3%,7.0%,6.8%,6.0%,6.0%,7.1%,5.2%
345,Hsn Christian,,,,,,,,,,,,5.8%,5.8%,7.9%,7.1%,7.7%,8.5%,7.7%,7.2%,6.0%,8.3%,6.7%,7.4%,5.5%,5.8%,5.5%
346,South Dakota,,,,,,,,,,,,,5.5%,4.7%,5.1%,5.0%,6.8%,6.1%,7.5%,6.7%,5.6%,6.5%,4.8%,4.0%,4.1%,6.9%
347,North Dakota,,,,,,,,,,,,,5.7%,5.3%,6.0%,7.5%,5.7%,6.6%,5.1%,4.2%,4.2%,4.1%,5.1%,6.1%,5.4%,5.0%
348,Seattle,,,,,,,,,,,,,6.0%,8.0%,5.4%,5.6%,5.5%,5.8%,7.1%,6.5%,5.7%,5.0%,5.3%,4.7%,5.6%,5.8%
349,SIU Edward,,,,,,,,,,,,,6.8%,6.1%,5.3%,6.3%,5.7%,6.7%,6.2%,6.4%,6.0%,5.1%,5.9%,4.5%,6.3%,5.1%
350,Neb Omaha,,,,,,,,,,,,,,,5.5%,4.7%,6.6%,6.3%,6.3%,6.5%,6.5%,5.7%,5.2%,4.7%,5.0%,5.8%
351,N Kentucky,,,,,,,,,,,,,,,,6.2%,7.4%,6.5%,6.6%,7.5%,6.3%,6.8%,3.5%,3.7%,4.8%,4.4%
352,Mass Lowell,,,,,,,,,,,,,,,,,6.1%,6.4%,5.1%,4.6%,5.9%,6.4%,5.7%,4.9%,6.6%,5.4%
353,Grd Canyon,,,,,,,,,,,,,,,,,6.8%,5.1%,6.8%,5.8%,4.1%,5.1%,4.6%,4.1%,5.4%,5.0%
354,Incar Word,,,,,,,,,,,,,,,,,7.3%,6.0%,7.8%,7.1%,7.9%,6.6%,6.4%,5.9%,4.3%,5.7%
355,Abl Christian,,,,,,,,,,,,,,,,,10.0%,8.0%,6.1%,5.9%,5.2%,5.3%,7.1%,6.7%,6.6%,5.6%
356,Cal Baptist,,,,,,,,,,,,,,,,,,,,,,4.3%,6.3%,4.1%,3.8%,4.8%
357,N Alabama,,,,,,,,,,,,,,,,,,,,,,8.0%,7.1%,5.2%,6.7%,6.8%
358,LIU,,,,,,,,,,,,,,,,,,,,,,,6.0%,4.5%,4.5%,7.0%
359,Merrimack,,,,,,,,,,,,,,,,,,,,,,,6.7%,4.2%,5.5%,6.3%
360,UC San Diego,,,,,,,,,,,,,,,,,,,,,,,,4.7%,4.8%,5.7%
361,Bellarmine,,,,,,,,,,,,,,,,,,,,,,,,5.4%,4.3%,3.9%
362,Utah Tech,,,,,,,,,,,,,,,,,,,,,,,,6.7%,7.0%,6.0%
363,Tarleton State,,,,,,,,,,,,,,,,,,,,,,,,8.4%,9.7%,7.0%
364,St. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,5.3%,6.5%
365,TX A&M-Com,,,,,,,,,,,,,,,,,,,,,,,,,,4.0%
366,Lindenwood,,,,,,,,,,,,,,,,,,,,,,,,,,5.3%
367,Stonehill,,,,,,,,,,,,,,,,,,,,,,,,,,5.6%
368,S Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,7.0%
369,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,7.1%
